@relation RatioDataForProject_1102_8

@attribute Working_Capital numeric
@attribute Quick_Ratio numeric
@attribute Accounts_And_Notes_Receivable numeric
@attribute Days_in_Accounts_Receivable numeric
@attribute Inventory_Days numeric
@attribute Revenue_Growth_Year_over_Year numeric
@attribute Sales_5_Year_Average_Growth numeric
@attribute Gross_Margin numeric
@attribute Oper_Margin numeric
@attribute Pretax_Margin numeric
@attribute Return_Com_Eqy numeric
@attribute Normalized_Return_On_Asset numeric
@attribute Cash_From_Operations numeric
@attribute Free_Cash_Flow numeric
@attribute Interest_Coverage_Ratio numeric
@attribute Avg_Com_Eqy_To_Avg_Asset numeric
@attribute Book_Val_Per_Share numeric
@attribute Tot_Debt_To_Tot_Equity numeric
@attribute Lt_Debt_To_Tot_Asset numeric
@attribute Lt_Debt_To_Com_Equity numeric
@attribute Dividend_Indicated_Yield_Net numeric
@attribute Tobin_Q_Ratio numeric
@attribute Invent_Turnover numeric
@attribute Acct_Rcv_Turnover numeric
@attribute Accounts_Payable_Turnover numeric
@attribute RTG_SP_LT_LC_Issuer_Credit {A,B}

@data
-181.564,0.358108,415.068,39.438789,112.871105,1.903974,1.265529,72.476311,26.20896,21.491091,9.455861,2.792351,1118.036,-293.019,3.862737,29.707212,44.93974,96.716786,28.143192,95.666259,3.481092,1.265133,3.233777,7.00943,3.737384,A
1961.2,1.5281,421.4,25.729421,131.084047,-7.07221,-3.198626,60.684535,8.05849,7.912913,6.261521,8.868863,975.1,813.5,27.373626,57.285529,42.182491,17.244172,4.688034,8.329959,1.861643,1.916761,2.776844,23.09273,13.529703,A
2582,1.039795,2559,59.979489,77.933112,3.349685,1.397537,44.351777,13.995118,13.595064,27.848583,9.003879,1568,1208,18.428571,32.142747,20.180308,73.09591,24.996977,74.392658,1.713674,2.438215,4.683503,4.611555,0,A
-1729,0.424807,1224,58.080435,72.951688,-0.931223,-7.006726,80.609641,41.197798,25.674768,12.885412,4.04022,2461,-710,3.364035,25.891671,16.07717,197.704674,47.848309,184.434532,5.437666,1.257954,5.003311,7.131676,1.90617,A
32686,3.748418,3576,47.444596,68.607804,-5.362147,-1.709535,56.071957,11.726706,13.548069,-15.463007,6.349986,4693,4003,5.291498,53.056133,15.703199,71.206011,29.621599,63.091134,3.441576,1.702969,5.305519,6.85367,6.236675,A
1224.755,0.715673,87.868,2.104852,58.525055,9.854659,7.940964,28.95063,14.491934,14.437628,50.887328,25.242542,1681.278,1309.855,104.739786,52.55293,8.529466,13.018265,5.452485,10.231633,0.92564,5.713499,6.339165,130.950695,8.968844,A
-839.147,0.83312,3917.401,123.884689,0,24.88122,28.036328,73.535126,2.249692,1.928509,6.9279,2.231539,2737.965,2203.938,2.711754,43.758889,17.877627,18.356135,3.325343,7.441533,0,4.510222,0,6.659212,17.569336,A
926,1.06679,1181,102.753481,115.849702,7.772509,5.112232,51.056171,22.035847,20.545959,20.329181,12.163128,608.5,526.5,16.822519,55.865748,54.843429,39.928675,14.356747,25.512035,1.754761,2.319695,3.142002,3.52292,10.287425,A
2079,0.911879,2290,60.346221,70.548764,7.149861,2.064774,33.935789,15.610463,14.702967,14.361616,7.645379,2321,1619,15.746154,49.271838,27.243678,44.549277,18.729063,37.267973,1.937686,2.003058,5.159552,5.941999,6.807054,A
67,0.725565,1493,23.637359,0,6.514217,1.23672,0,37.951977,35.932203,57.134905,9.177455,7230,3992,11.211405,39.452451,26.9237,68.168651,27.927897,64.950113,2.034976,2.381605,0,14.714142,0,A
